word,accountant + audit,YorN,top
account,2.25903614457831,y,
และ,2.12765957446808,n,
บัญชี,1.99628300435786,y,
จัดทำ,1.02217380158934,,
การ,0.977313509356575,n,
ที่,0.967700589592412,n,
manag,0.823506793129967,,
เอกสาร,0.797872340425532,,
report,0.772237887721097,y,
จ่าย,0.769033581133043,,
งาน,0.70815175596001,n,
ของ,0.63445270443476,n,
ตรวจสอบ,0.628044091258652,,
ได้,0.618431171494489,n,
work,0.615226864906434,n,
ใน,0.589592412202,n,
prepar,0.583183799025891,,
financi,0.573570879261728,,
บันทึก,0.570366572673673,,
experi,0.544732119969239,n,
ด้าน,0.531914893617021,n,
year,0.519097667264804,n,
รายงาน,0.496667521148424,y,
กับ,0.477441681620097,n,
offic,0.474237375032043,,
รับ,0.455011535503717,,
ภาษี,0.451807228915663,y,
month,0.4421943091515,,
เจ้าหน้าที่,0.435785695975391,n,
ให้,0.435785695975391,n,
audit,0.416559856447065,y,
ตำแหน่ง,0.397334016918739,n,
good,0.384516790566521,n,
compani,0.381312483978467,,
ต่างๆ,0.374903870802358,n,
การเงิน,0.374903870802358,,
ensur,0.365290951038195,n,
skill,0.362086644450141,n,
ทำ,0.355678031274032,n,
บริษัท,0.352473724685978,n,
อื่นๆ,0.349269418097924,n,
มี,0.333247885157652,n,
payment,0.333247885157652,y,
relat,0.330043578569597,,
รับมอบหมาย,0.326839271981543,,
process,0.304409125865163,,
financ,0.304409125865163,,
cash,0.298000512689054,,
intern,0.291591899512945,,
ลูกหนี้,0.285183286336837,y,
english,0.281978979748782,,
ดูแล,0.281978979748782,,
invoic,0.281978979748782,,
ทาง,0.275570366572674,n,
ระบบ,0.275570366572674,,
degre,0.269161753396565,,
สินค้า,0.269161753396565,,
พนักงานบัญชี,0.269161753396565,y,
respons,0.265957446808511,,
record,0.262753140220456,y,
เกี่ยวข้อง,0.259548833632402,,
qualif,0.256344527044348,n,
control,0.256344527044348,,
เพื่อ,0.256344527044348,n,
perform,0.256344527044348,,
requir,0.256344527044348,n,
assist,0.249935913868239,,
team,0.246731607280184,,
ประสานงาน,0.24352730069213,,
ข้อมูล,0.24352730069213,,
bachelor,0.240322994104076,n,
bank,0.240322994104076,,
close,0.237118687516021,,
provid,0.233914380927967,n,
support,0.233914380927967,,
ติดตาม,0.230710074339913,,
review,0.230710074339913,,
สาขา,0.227505767751858,n,
เช็ค,0.227505767751858,,
busi,0.217892847987695,,
budget,0.217892847987695,y,
รายการ,0.217892847987695,,
document,0.214688541399641,,
excel,0.211484234811587,,
ต้นทุน,0.208279928223532,y,
communic,0.205075621635478,,
เงิน,0.205075621635478,,
transact,0.205075621635478,y,
includ,0.201871315047424,n,
จาก,0.201871315047424,n,
ค่าใช้จ่าย,0.201871315047424,y,
ปี,0.198667008459369,,
การบัญชี,0.198667008459369,y,
depart,0.195462701871315,n,
ส่ง,0.195462701871315,,
receiv,0.195462701871315,,
งบการเงิน,0.195462701871315,y,
ยอด,0.192258395283261,,
time,0.189054088695206,n,
หรือ,0.185849782107152,n,
สามารถ,0.185849782107152,n,
วางบิล,0.185849782107152,y,
bangkok,0.185849782107152,n,
staff,0.185849782107152,,
oper,0.182645475519098,,
knowledg,0.182645475519098,,
abl,0.182645475519098,n,
servic,0.182645475519098,,
ขาย,0.176236862342989,n,
cost,0.173032555754935,y,
asset,0.173032555754935,y,
หัก,0.173032555754935,,
เจ้าหนี้,0.173032555754935,y,
ตามที่,0.16982824916688,n,
assign,0.16982824916688,,
ใช้,0.166623942578826,n,
maintain,0.166623942578826,,
write,0.163419635990772,,
ติดต่อ,0.163419635990772,n,
handl,0.163419635990772,,
รับผิดชอบ,0.163419635990772,,
โปรแกรม,0.160215329402717,,
command,0.160215329402717,,
ทำงาน,0.160215329402717,n,
statement,0.160215329402717,,
ลูกค้า,0.157011022814663,,
ราย,0.157011022814663,n,
thailand,0.157011022814663,n,
thai,0.157011022814663,n,
ณ,0.157011022814663,n,
data,0.157011022814663,,
custom,0.153806716226609,,
ตาม,0.153806716226609,n,
อย่าง,0.153806716226609,n,
salari,0.153806716226609,,
reconcili,0.153806716226609,,
task,0.150602409638554,n,
coordin,0.150602409638554,,
ออก,0.150602409638554,n,
project,0.150602409638554,,
รายละเอียด,0.1473981030505,n,
balanc,0.1473981030505,y,
applic,0.1473981030505,,
senior,0.144193796462445,,
ความถูกต้อง,0.144193796462445,,
expens,0.140989489874391,y,
complet,0.140989489874391,,
เป็น,0.140989489874391,n,
ควบคุม,0.137785183286337,,
ประจำเดือน,0.137785183286337,,
สรุป,0.137785183286337,,
monitor,0.137785183286337,,
payabl,0.137785183286337,,
check,0.137785183286337,,
issu,0.137785183286337,n,
หนี้,0.134580876698283,y,
ใบกำกับภาษี,0.134580876698283,y,
ถูกต้อง,0.134580876698283,,
พนักงาน,0.134580876698283,n,
ฝ่าย,0.134580876698283,,
activ,0.131376570110228,n,
เกี่ยวกับ,0.131376570110228,n,
ด่วน,0.131376570110228,n,
งบ,0.131376570110228,y,
ซื้อ,0.128172263522174,,
ตรวจ,0.128172263522174,,
posit,0.128172263522174,n,
polici,0.128172263522174,,
general,0.128172263522174,,
ภายใน,0.128172263522174,,
ทรัพย์สิน,0.128172263522174,y,
strong,0.128172263522174,n,
มีประสบการณ์,0.124967956934119,n,
abil,0.124967956934119,n,
ใบ,0.124967956934119,,
procedur,0.124967956934119,n,
กระทบ,0.124967956934119,,
จะ,0.121763650346065,n,
function,0.121763650346065,,
เงินสด,0.121763650346065,,
fix,0.121763650346065,,
client,0.118559343758011,,
candid,0.118559343758011,n,
ขึ้นไป,0.118559343758011,n,
reconcil,0.118559343758011,,
standard,0.115355037169956,,
ประจำปี,0.115355037169956,,
microsoft,0.115355037169956,,
ปริญญาตรี,0.115355037169956,n,
รายรับ,0.115355037169956,y,
inform,0.115355037169956,,
ธนาคาร,0.115355037169956,,
plan,0.112150730581902,,
level,0.112150730581902,,
follow,0.112150730581902,,
sheet,0.112150730581902,,
sale,0.108946423993848,n,
analysi,0.108946423993848,,
เป็นพิเศษ,0.108946423993848,n,
จัดเก็บ,0.108946423993848,,
ประจำ,0.108946423993848,n,
voucher,0.108946423993848,,
develop,0.105742117405793,,
speak,0.105742117405793,n,
ปฏิบัติงาน,0.105742117405793,n,
contact,0.105742117405793,n,
person,0.105742117405793,,
expect,0.105742117405793,,
ทุก,0.105742117405793,n,
collect,0.105742117405793,,
descript,0.102537810817739,n,
flow,0.102537810817739,n,
การทำงาน,0.102537810817739,n,
อายุ,0.102537810817739,n,
นำ,0.102537810817739,n,
ledger,0.102537810817739,,
file,0.102537810817739,n,
