word,coordinator high skill,YorN
manag,1.61042944785276,
และ,1.48261758691207,n
work,1.1758691206544,n
offic,1.0480572597137,
experi,0.869120654396728,n
assist,0.869120654396728,y
administr,0.81799591002045,
support,0.81799591002045,y
secretari,0.81799591002045,y
busi,0.741308793456033,
meet,0.715746421267894,y
compani,0.715746421267894,n
ผู้บริหาร,0.715746421267894,
document,0.690184049079755,y
ประสานงาน,0.664621676891616,y
relat,0.639059304703476,n
person,0.639059304703476,
งาน,0.613496932515337,n
team,0.587934560327198,
skill,0.587934560327198,
good,0.587934560327198,n
ได้,0.587934560327198,n
year,0.562372188139059,n
ของ,0.562372188139059,n
requir,0.562372188139059,n
coordin,0.53680981595092,y
เอกสาร,0.511247443762781,y
prepar,0.511247443762781,
execut,0.511247443762781,
depart,0.485685071574642,n
english,0.460122699386503,
communic,0.460122699386503,
assign,0.460122699386503,
inform,0.460122699386503,
ที่,0.434560327198364,n
ใน,0.434560327198364,n
provid,0.434560327198364,n
maintain,0.434560327198364,
task,0.408997955010225,n
ต่างๆ,0.408997955010225,n
ให้,0.408997955010225,n
การ,0.408997955010225,n
report,0.408997955010225,y
arrang,0.408997955010225,y
กับ,0.383435582822086,n
จัดทำ,0.383435582822086,n
project,0.383435582822086,
ติดต่อ,0.383435582822086,
handl,0.383435582822086,
เลขานุการ,0.383435582822086,y
หรือ,0.357873210633947,n
intern,0.357873210633947,
field,0.357873210633947,
excel,0.357873210633947,
organ,0.357873210633947,n
degre,0.332310838445808,n
ลูกค้า,0.332310838445808,
ด้าน,0.332310838445808,n
file,0.332310838445808,
qualif,0.306748466257669,n
bachelor,0.306748466257669,n
ตำแหน่ง,0.306748466257669,n
extern,0.306748466257669,
contact,0.306748466257669,
abl,0.306748466257669,n
นัดหมาย,0.306748466257669,y
properti,0.306748466257669,
write,0.28118609406953,
มี,0.28118609406953,n
รับมอบหมาย,0.28118609406953,y
ดูแล,0.28118609406953,
จัด,0.28118609406953,n
includ,0.28118609406953,n
อื่นๆ,0.28118609406953,n
respons,0.28118609406953,
perform,0.28118609406953,
knowledg,0.28118609406953,
การประชุม,0.28118609406953,y
servic,0.28118609406953,
schedul,0.28118609406953,y
minut,0.28118609406953,n
oper,0.255623721881391,
ensur,0.255623721881391,
present,0.255623721881391,
สามารถ,0.255623721881391,n
ทั้ง,0.255623721881391,n
legal,0.255623721881391,
high,0.255623721881391,n
time,0.255623721881391,
issu,0.255623721881391,
regul,0.255623721881391,
reserv,0.255623721881391,y
bangkok,0.230061349693251,n
record,0.230061349693251,y
candid,0.230061349693251,n
เป็น,0.230061349693251,n
ภายใน,0.230061349693251,
admin,0.230061349693251,
system,0.230061349693251,
applic,0.230061349693251,
travel,0.230061349693251,
appropri,0.230061349693251,
duti,0.230061349693251,
follow,0.230061349693251,
sale,0.204498977505112,
speak,0.204498977505112,n
expens,0.204498977505112,
รับ,0.204498977505112,
salari,0.204498977505112,
ตามที่,0.204498977505112,n
director,0.204498977505112,
command,0.204498977505112,
จาก,0.204498977505112,n
general,0.204498977505112,
องค์กร,0.204498977505112,n
corpor,0.204498977505112,y
confidenti,0.204498977505112,
region,0.204498977505112,
accord,0.178936605316973,n
บริษัท,0.178936605316973,n
ติดตาม,0.178936605316973,
ระดับ,0.178936605316973,n
ทาง,0.178936605316973,n
พนักงาน,0.178936605316973,
locat,0.178936605316973,n
parti,0.178936605316973,
interperson,0.178936605316973,
client,0.178936605316973,
websit,0.178936605316973,
microsoft,0.178936605316973,
ปี,0.178936605316973,n
profici,0.178936605316973,
ภายนอก,0.178936605316973,
send,0.178936605316973,
staff,0.178936605316973,
appli,0.178936605316973,
ญี่ปุ่น,0.178936605316973,
call,0.178936605316973,
princip,0.178936605316973,
develop,0.153374233128834,
problem,0.153374233128834,
เจ้าหน้าที่,0.153374233128834,
เกี่ยวข้อง,0.153374233128834,n
จัดการ,0.153374233128834,
ผู้ช่วย,0.153374233128834,y
จะ,0.153374233128834,n
ภาษาอังกฤษ,0.153374233128834,
ทำ,0.153374233128834,n
ขาย,0.153374233128834,
plan,0.153374233128834,
correspond,0.153374233128834,y
monitor,0.153374233128834,
activ,0.153374233128834,
chines,0.153374233128834,
thai,0.153374233128834,n
อายุ,0.153374233128834,n
point,0.153374233128834,
ตาราง,0.153374233128834,
phone,0.153374233128834,
procedur,0.153374233128834,
benefit,0.153374233128834,
build,0.153374233128834,
effici,0.153374233128834,
data,0.153374233128834,
relev,0.153374233128834,n
distribut,0.153374233128834,
mail,0.153374233128834,
appoint,0.153374233128834,y
market,0.127811860940695,
custom,0.127811860940695,
control,0.127811860940695,
เพื่อ,0.127811860940695,n
ได้รับ,0.127811860940695,n
เป็นพิเศษ,0.127811860940695,n
ดี,0.127811860940695,n
รายงาน,0.127811860940695,y
อย่าง,0.127811860940695,n
บันทึก,0.127811860940695,y
process,0.127811860940695,
ฝ่าย,0.127811860940695,n
ทำงาน,0.127811860940695,n
abil,0.127811860940695,
resum,0.127811860940695,
แจ้ง,0.127811860940695,
จัดเตรียม,0.127811860940695,
level,0.127811860940695,
updat,0.127811860940695,
guest,0.127811860940695,
contract,0.127811860940695,
member,0.127811860940695,
plus,0.127811860940695,n
area,0.127811860940695,
law,0.127811860940695,
chang,0.127811860940695,
help,0.127811860940695,y
advantag,0.127811860940695,
basic,0.127811860940695,
ผู้เช่า,0.127811860940695,
job,0.127811860940695,n
qualiti,0.102249488752556,
solv,0.102249488752556,
หน่วยงาน,0.102249488752556,
โครงการ,0.102249488752556,
ใช้,0.102249488752556,n
function,0.102249488752556,
type,0.102249488752556,n
effect,0.102249488752556,
complet,0.102249488752556,
มีประสบการณ์,0.102249488752556,n
financ,0.102249488752556,
supplier,0.102249488752556,
environ,0.102249488752556,
submit,0.102249488752556,
road,0.102249488752556,n
สนับสนุน,0.102249488752556,y
ผู้บังคับบัญชา,0.102249488752556,
ปริญญาตรี,0.102249488752556,n
เรื่อง,0.102249488752556,n
อุปกรณ์,0.102249488752556,
train,0.102249488752556,
ภาษา,0.102249488752556,
secur,0.102249488752556,
payment,0.102249488752556,
advanc,0.102249488752556,
complex,0.102249488752556,
pressur,0.102249488752556,
เขียน,0.102249488752556,
govern,0.102249488752556,
interest,0.102249488752556,
action,0.102249488752556,
board,0.102249488752556,
mind,0.102249488752556,
event,0.102249488752556,
implement,0.102249488752556,
screen,0.102249488752556,
public,0.102249488752556,
liais,0.102249488752556,y
พูด,0.102249488752556,n
databas,0.102249488752556,
attitud,0.102249488752556,
ประสาน,0.102249488752556,y
take,0.102249488752556,n
agenda,0.102249488752556,y
paper,0.102249488752556,
ห้องพัก,0.102249488752556,
