word,hr manager,YorN
manag,2.82703675147777,y
develop,1.29358348325195,y
employe,1.14794825666067,y
และ,1.07941403238242,n
compani,1.00231303006939,n
resourc,0.99374625203461,y
relat,0.976612695965048,
human,0.976612695965048,y
busi,0.873811359547674,n
recruit,0.856677803478112,y
work,0.848111025443331,n
experi,0.813843913304206,n
train,0.771010023130301,y
ensur,0.762443245095519,
skill,0.668208686712927,n
การ,0.651075130643365,n
year,0.616808018504241,n
process,0.60824124046946,n
plan,0.591107684399897,
implement,0.573974128330335,
communic,0.548273794225992,
polici,0.548273794225992,
provid,0.531140238156429,n
team,0.505439904052086,
depart,0.488306347982524,
program,0.46260601387818,
organ,0.46260601387818,n
benefit,0.46260601387818,
administr,0.445472457808618,y
maintain,0.419772123704275,
perform,0.419772123704275,
requir,0.419772123704275,n
strategi,0.419772123704275,y
includ,0.402638567634712,n
support,0.402638567634712,
good,0.394071789599931,n
compens,0.394071789599931,
ใน,0.38550501156515,n
assist,0.376938233530369,
งาน,0.368371455495588,n
ของ,0.359804677460807,n
ที่,0.359804677460807,n
report,0.342671121391245,
พนักงาน,0.342671121391245,n
candid,0.342671121391245,y
procedur,0.342671121391245,
function,0.334104343356464,
salari,0.334104343356464,n
strong,0.325537565321682,n
degre,0.316970787286901,n
level,0.316970787286901,n
qualif,0.30840400925212,n
ให้,0.30840400925212,n
ดูแล,0.30840400925212,n
activ,0.30840400925212,
peopl,0.30840400925212,
english,0.299837231217339,
offic,0.299837231217339,
staff,0.291270453182558,
oper,0.282703675147777,
bachelor,0.282703675147777,n
control,0.282703675147777,y
monitor,0.282703675147777,
ควบคุม,0.274136897112996,
excel,0.274136897112996,
ต่างๆ,0.265570119078215,n
need,0.257003341043434,n
field,0.257003341043434,
high,0.257003341043434,n
overal,0.248436563008652,
updat,0.248436563008652,
meet,0.239869784973871,
ด้าน,0.239869784973871,n
posit,0.239869784973871,n
กับ,0.23130300693909,n
respons,0.23130300693909,n
พัฒนา,0.23130300693909,y
servic,0.23130300693909,
complianc,0.23130300693909,
conduct,0.23130300693909,
talent,0.23130300693909,y
project,0.222736228904309,
bangkok,0.222736228904309,n
time,0.222736228904309,
data,0.222736228904309,
select,0.222736228904309,
กำหนด,0.214169450869528,
effect,0.214169450869528,
labor,0.214169450869528,y
ฝึกอบรม,0.205602672834747,y
knowledg,0.205602672834747,
abil,0.205602672834747,
review,0.205602672834747,
design,0.197035894799966,
leadership,0.197035894799966,y
thailand,0.197035894799966,n
thai,0.197035894799966,n
system,0.197035894799966,
regul,0.197035894799966,n
improv,0.188469116765185,y
จัดทำ,0.188469116765185,n
annual,0.188469116765185,
orient,0.188469116765185,y
issu,0.188469116765185,
applic,0.188469116765185,
initi,0.188469116765185,
payrol,0.188469116765185,y
employ,0.188469116765185,y
write,0.179902338730403,
prepar,0.179902338730403,
creat,0.179902338730403,
industri,0.179902338730403,n
environ,0.179902338730403,
record,0.179902338730403,
role,0.179902338730403,n
drive,0.179902338730403,
ปฏิบัติงาน,0.171335560695622,n
line,0.171335560695622,
execut,0.171335560695622,
assign,0.171335560695622,
client,0.171335560695622,
ระบบ,0.171335560695622,
action,0.171335560695622,
สรรหา,0.171335560695622,y
manufactur,0.162768782660841,
lead,0.162768782660841,y
goal,0.162768782660841,
ฝ่าย,0.162768782660841,n
contact,0.162768782660841,n
strateg,0.162768782660841,y
การทำงาน,0.162768782660841,n
ทรัพยากรบุคคล,0.162768782660841,y
hire,0.162768782660841,y
appli,0.162768782660841,
ผู้จัดการ,0.15420200462606,y
cultur,0.15420200462606,
success,0.15420200462606,n
partner,0.15420200462606,
inform,0.15420200462606,
build,0.15420200462606,
chang,0.15420200462606,
object,0.15420200462606,
ได้,0.145635226591279,n
director,0.145635226591279,y
road,0.145635226591279,n
direct,0.145635226591279,
appropri,0.145635226591279,
recommend,0.145635226591279,
career,0.145635226591279,y
market,0.137068448556498,
ตาม,0.137068448556498,n
บริษัท,0.137068448556498,n
locat,0.137068448556498,
establish,0.137068448556498,
abl,0.137068448556498,n
interview,0.137068448556498,y
บุคลากร,0.137068448556498,y
base,0.128501670521717,
structur,0.128501670521717,
ตรวจสอบ,0.128501670521717,
month,0.128501670521717,n
document,0.128501670521717,
manpow,0.128501670521717,
intern,0.128501670521717,
minimum,0.128501670521717,
budget,0.128501670521717,
interperson,0.128501670521717,
general,0.128501670521717,
best,0.128501670521717,n
opportun,0.128501670521717,
analyz,0.128501670521717,y
profession,0.128501670521717,y
evalu,0.128501670521717,y
นโยบาย,0.119934892486936,
เกี่ยวข้อง,0.119934892486936,n
มี,0.119934892486936,n
legal,0.119934892486936,
practic,0.119934892486936,
วางแผน,0.119934892486936,y
person,0.119934892486936,y
promot,0.119934892486936,
align,0.119934892486936,
resum,0.119934892486936,
global,0.119934892486936,
result,0.119934892486936,
personnel,0.119934892486936,
countri,0.119934892486936,n
engag,0.119934892486936,
region,0.119934892486936,
product,0.111368114452154,
coordin,0.111368114452154,
present,0.111368114452154,
เพื่อ,0.111368114452154,n
overse,0.111368114452154,
สวัสดิการ,0.111368114452154,n
close,0.111368114452154,n
look,0.111368114452154,n
websit,0.111368114452154,
องค์กร,0.111368114452154,n
insur,0.111368114452154,
member,0.111368114452154,
welfar,0.111368114452154,
relev,0.111368114452154,
motiv,0.111368114452154,
labour,0.111368114452154,y
พขร,0.111368114452154,n
qualiti,0.102801336417373,
standard,0.102801336417373,
problem,0.102801336417373,
ตำแหน่ง,0.102801336417373,n
analysi,0.102801336417373,y
รายงาน,0.102801336417373,
command,0.102801336417373,
guid,0.102801336417373,
expect,0.102801336417373,
มนุษย์,0.102801336417373,y
แผนก,0.102801336417373,n
admin,0.102801336417373,y
law,0.102801336417373,
organiz,0.102801336417373,n
open,0.102801336417373,
sourc,0.102801336417373,
